rating_avg,pages,author_followers
3.96,285 pages,460k
4.35,356 pages,33.5k
4.16,477 pages,3489
4.56,327 pages,30.9k
4.33,336 pages,285
4.11,311 pages,3400
4.27,187 pages,20.9k
4.45,113 pages,4774
4.01,325 pages,59.8k
4.06,208 pages,1992
4.1,425 pages,5411
3.74,338 pages,121
4.03,322 pages,38.4k
3.54,352 pages,6734
3.39,332 pages,45
3.75,185 pages,666
4.18,456 pages,3289
3.5,367 pages,20.1k
3.45,320 pages,book128
4.5,803 pages,393k
3.94,323 pages,61
3.63,233 pages,1784
4.31,496 pages,1
3.63,342 pages,988
3.27,224 pages,46
3.87,232 pages,440
4.09,348 pages,13.1k
3.98,,201
4.04,416 pages,18k
3.91,418 pages,89
3.12,381 pages,60
3.95,400 pages,4764
4.09,384 pages,3696
3.83,Audio Cassette,book
3.73,320 pages,2336
3.79,160 pages,9957
4.2,696 pages,305
3.99,325 pages,449
3.94,224 pages,46
3.49,338 pages,41
3.94,390 pages,38.3k
4.08,376 pages,135k
4.29,152 pages,4072
4.23,477 pages,16k
4.11,224 pages,2093
3.88,194 pages,1168
4.1,382 pages,29.1k
3.71,177 pages,1626
4.37,ebook,346
4.67,41 pages,0
4.16,224 pages,2511
3.54,422 pages,354
4.22,270 pages,44
3.69,165 pages,16.7k
3.89,192 pages,1644
3.98,512 pages,471
3.98,502 pages,110
3.72,221 pages,19.3k
3.78,Audio Cassette,6753
3.99,643 pages,73
4.21,352 pages,1558
4.05,100 pages,3368
4.16,449 pages,841k
4.06,456 pages,14.5k
4.09,16 pages,4
4.12,8 pages,24.5k
3.72,394 pages,918
3.0,368 pages,1
3.24,309 pages,23
3.51,256 pages,143
4.45,653 pages,11.6k
4.16,320 pages,5556
4.12,314 pages,23.9k
4.0,256 pages,52.5k
4.17,300 pages,84k
4.16,289 pages,5703
3.9,366 pages,9356
4.36,496 pages,12
3.59,312 pages,99
4.17,365 pages,24.6k
3.92,341 pages,9688
3.91,309 pages,50.2k
4.36,688 pages,269k
4.47,377 pages,389
4.15,385 pages,3812
4.05,256 pages,101
3.82,349 pages,631
3.74,376 pages,4467
4.2,448 pages,8120
3.69,197 pages,630
3.82,464 pages,3696
3.7,352 pages,593
3.52,352 pages,2911
4.31,410 pages,56.5k
3.81,340 pages,3442
3.71,279 pages,101
4.01,532 pages,31
3.94,224 pages,752
4.02,238 pages,72
3.84,370 pages,20.3k
3.89,96 pages,1076
3.47,218 pages,2620
3.77,237 pages,283
3.91,211 pages,7399
4.12,177 pages,1008
3.63,214 pages,14
4.12,496 pages,3059
3.97,364 pages,3700
4.04,342 pages,2200
3.87,320 pages,932
3.52,412 pages,book199
4.19,240 pages,819
4.16,331 pages,9613
4.07,311 pages,5905
4.25,442 pages,15.2k
3.87,464 pages,7917
4.5,932 pages,94.1k
3.91,307 pages,8452
3.96,ebook,1497
3.96,275 pages,739
3.86,496 pages,464
4.5,100 pages,4774
3.81,350 pages,3879
3.7,304 pages,2206
4.2,250 pages,51
4.04,315 pages,52.5k
4.09,373 pages,1523
3.65,305 pages,1091
3.79,688 pages,38.4k
4.26,370 pages,9922
3.39,384 pages,11
3.43,160 pages,227
3.98,204 pages,68
4.3,461 pages,80.1k
4.1,296 pages,1675
4.25,251 pages,2875
3.96,160 pages,7034
4.25,160 pages,246
3.62,317 pages,408
3.67,304 pages,498
4.03,368 pages,17.1k
3.85,184 pages,6
3.77,352 pages,23k
4.13,250 pages,205
4.0,424 pages,3006
4.07,305 pages,47
4.22,400 pages,234
3.5,231 pages,24
3.31,384 pages,2200
4.36,318 pages,15.1k
4.19,311 pages,20
4.13,408 pages,4030
4.11,345 pages,10.3k
4.28,319 pages,2176
3.76,796 pages,6952
3.9,653 pages,7102
4.34,429 pages,990
4.46,281 pages,2384
3.79,96 pages,1317
4.15,479 pages,1910
3.25,272 pages,5040
3.25,145 pages,10.9k
3.99,9 pages,2277
3.81,321 pages,34
4.47,640 pages,4674
3.99,432 pages,3203
3.91,288 pages,206
4.29,464 pages,14.1k
4.28,81 pages,28.5k
3.6,352 pages,1694
3.98,536 pages,11.4k
3.71,364 pages,299
4.01,179 pages,4156
4.36,295 pages,1157
4.22,336 pages,8316
3.76,396 pages,64
4.1,378 pages,23
4.12,410 pages,7271
3.95,288 pages,42.5k
4.21,534 pages,4123
4.09,211 pages,9609
3.79,336 pages,1827
4.14,336 pages,375
